,Unnamed: 0,fecha,estacion,Nombre,lluvia,tmin,tseca,tmax,eva_tan,eva_piche,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,tsuelo_5,tsuelo_50,tsuelo_100,rad_solar,Longitud,Latitud,Altitud
845,845,2023-04-20,INS110101CV,RETALHULEU AREOPUERTO,42.2,21.8,27.3,33.8,,,79.0,,7.0,2.7,225.0,741.9,,,,,-91.69407,14.52486,205.0
903,903,2023-04-21,INS110101CV,RETALHULEU AREOPUERTO,0.8,22.0,28.2,34.4,,,70.0,,6.0,4.7,270.0,741.2,,,,,-91.69407,14.52486,205.0
961,961,2023-04-22,INS110101CV,RETALHULEU AREOPUERTO,0.0,22.8,29.8,35.0,,,61.0,,3.0,4.7,270.0,739.3,,,,,-91.69407,14.52486,205.0
1018,1018,2023-04-23,INS110101CV,RETALHULEU AREOPUERTO,0.0,22.8,30.0,35.8,,,58.0,,6.0,4.0,270.0,740.2,,,,,-91.69407,14.52486,205.0
1075,1075,2023-04-24,INS110101CV,RETALHULEU AREOPUERTO,0.0,23.0,29.1,34.8,,,60.0,,4.0,7.4,270.0,740.8,,,,,-91.69407,14.52486,205.0
1132,1132,2023-04-25,INS110101CV,RETALHULEU AREOPUERTO,0.0,22.8,29.5,36.0,,,58.0,,2.0,7.4,270.0,740.3,,,,,-91.69407,14.52486,205.0
1189,1189,2023-04-26,INS110101CV,RETALHULEU AREOPUERTO,0.0,25.0,29.1,35.4,,,71.0,,3.0,3.7,0.0,740.3,,,,,-91.69407,14.52486,205.0
1247,1247,2023-04-27,INS110101CV,RETALHULEU AREOPUERTO,2.0,23.2,29.7,35.6,,,61.0,,3.0,3.7,0.0,740.4,,,,,-91.69407,14.52486,205.0
1305,1305,2023-04-28,INS110101CV,RETALHULEU AREOPUERTO,0.0,24.0,29.9,36.2,,,61.0,,3.0,7.4,270.0,740.5,,,,,-91.69407,14.52486,205.0
1363,1363,2023-04-29,INS110101CV,RETALHULEU AREOPUERTO,0.0,23.6,29.8,35.8,,,57.0,,5.0,9.9,270.0,740.8,,,,,-91.69407,14.52486,205.0
1422,1422,2023-04-30,INS110101CV,RETALHULEU AREOPUERTO,0.0,23.6,29.8,36.0,,,58.0,,5.0,6.2,0.0,740.7,,,,,-91.69407,14.52486,205.0
25,25,2023-05-01,INS110101CV,RETALHULEU AREOPUERTO,0.0,22.0,30.9,36.4,,,53.0,,4.0,4.0,225.0,740.2,,,,,-91.69407,14.52486,205.0
84,84,2023-05-02,INS110101CV,RETALHULEU AREOPUERTO,0.0,23.6,28.6,35.0,,,67.0,,6.0,4.0,9.0,739.8,,,,,-91.69407,14.52486,205.0
143,143,2023-05-03,INS110101CV,RETALHULEU AREOPUERTO,0.6,22.0,30.5,36.4,,,58.0,,2.0,3.3,9.0,738.6,,,,,-91.69407,14.52486,205.0
202,202,2023-05-04,INS110101CV,RETALHULEU AREOPUERTO,13.8,23.0,30.2,36.0,,,60.0,,4.0,4.0,180.0,739.2,,,,,-91.69407,14.52486,205.0
261,261,2023-05-05,INS110101CV,RETALHULEU AREOPUERTO,0.0,24.0,31.2,36.6,,,57.0,,4.0,4.7,225.0,739.9,,,,,-91.69407,14.52486,205.0
320,320,2023-05-06,INS110101CV,RETALHULEU AREOPUERTO,0.0,23.8,31.5,37.2,,,55.0,,3.0,3.3,270.0,740.3,,,,,-91.69407,14.52486,205.0
379,379,2023-05-07,INS110101CV,RETALHULEU AREOPUERTO,0.0,24.6,31.3,37.6,,,57.0,,3.0,4.0,225.0,739.9,,,,,-91.69407,14.52486,205.0
437,437,2023-05-08,INS110101CV,RETALHULEU AREOPUERTO,0.0,24.8,30.5,37.0,,,63.0,,3.0,7.4,9.0,739.9,,,,,-91.69407,14.52486,205.0
496,496,2023-05-09,INS110101CV,RETALHULEU AREOPUERTO,11.3,24.0,28.6,35.6,,,74.0,,5.0,8.6,9.0,740.7,,,,,-91.69407,14.52486,205.0
555,555,2023-05-10,INS110101CV,RETALHULEU AREOPUERTO,3.2,23.8,27.4,34.6,,,76.0,,5.0,16.0,180.0,740.9,,,,,-91.69407,14.52486,205.0
614,614,2023-05-11,INS110101CV,RETALHULEU AREOPUERTO,95.9,20.8,28.0,35.4,,,73.0,,4.0,11.1,45.0,740.4,,,,,-91.69407,14.52486,205.0
672,672,2023-05-12,INS110101CV,RETALHULEU AREOPUERTO,3.0,23.2,28.5,35.2,,,71.0,,5.0,6.2,9.0,739.8,,,,,-91.69407,14.52486,205.0
730,730,2023-05-13,INS110101CV,RETALHULEU AREOPUERTO,17.6,23.6,27.9,34.6,,,74.0,,5.0,12.3,360.0,739.7,,,,,-91.69407,14.52486,205.0
788,788,2023-05-14,INS110101CV,RETALHULEU AREOPUERTO,13.4,21.8,27.3,,,,77.0,,8.0,7.4,135.0,742.6,,,,,-91.69407,14.52486,205.0
