No.,fecha,ID,Nombre,lluvia,nub,vel_viento,dir_viento
1,2024-01-23,CHINIQUE_1,CHINIQUE 1,0.0,0.0,2.0,67.5
2,2024-01-24,CHINIQUE_1,CHINIQUE 1,,6.0,0.0,0.0
