No.,fecha,ID,tmin,tseca,tmax,eva_tan,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-02-14,INS050101CV,19.2,25.8,32.8,2.2,74.0,6.0,3.7,9.0,Sabana Grande,0.3,INSDMCL0501001CONV,14.373773,-90.830533,730.0
2,2025-02-15,INS050101CV,17.2,22.8,30.6,5.1,87.0,8.0,1.3,360.0,Sabana Grande,2.3,INSDMCL0501001CONV,14.373773,-90.830533,730.0
3,2025-02-16,INS050101CV,17.0,23.4,28.4,2.1,87.0,8.0,2.7,180.0,Sabana Grande,0.3,INSDMCL0501001CONV,14.373773,-90.830533,730.0
4,2025-02-17,INS050101CV,18.2,23.8,30.2,2.2,85.0,8.0,1.3,0.0,Sabana Grande,3.6,INSDMCL0501001CONV,14.373773,-90.830533,730.0
5,2025-02-18,INS050101CV,17.2,24.6,31.6,3.4,82.0,7.0,1.3,0.0,Sabana Grande,2.6,INSDMCL0501001CONV,14.373773,-90.830533,730.0
6,2025-02-19,INS050101CV,17.0,24.4,30.8,3.5,81.0,6.0,3.0,9.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
7,2025-02-20,INS050101CV,17.4,23.9,29.2,1.8,85.0,7.0,4.3,45.0,Sabana Grande,0.4,INSDMCL0501001CONV,14.373773,-90.830533,730.0
8,2025-02-21,INS050101CV,19.6,26.9,33.4,3.1,61.0,3.0,10.0,315.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
9,2025-02-22,INS050101CV,21.2,26.5,32.0,6.5,63.0,4.0,5.3,270.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
10,2025-02-23,INS050101CV,19.8,25.5,32.2,5.1,73.0,3.0,4.3,315.0,Sabana Grande,2.8,INSDMCL0501001CONV,14.373773,-90.830533,730.0
11,2025-02-24,INS050101CV,15.0,24.0,31.4,3.9,82.0,5.0,1.3,0.0,Sabana Grande,0.2,INSDMCL0501001CONV,14.373773,-90.830533,730.0
12,2025-02-25,INS050101CV,18.2,24.9,31.2,4.2,77.0,5.0,2.0,9.0,Sabana Grande,0.1,INSDMCL0501001CONV,14.373773,-90.830533,730.0
13,2025-02-26,INS050101CV,17.2,24.1,31.2,3.0,82.0,7.0,2.0,9.0,Sabana Grande,3.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
14,2025-02-27,INS050101CV,17.6,25.1,31.4,3.8,82.0,5.0,2.0,270.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
15,2025-02-28,INS050101CV,17.2,25.9,32.0,2.6,75.0,5.0,2.0,9.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
16,2025-03-01,INS050101CV,17.0,25.9,33.8,5.4,73.0,4.0,2.7,225.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
17,2025-03-02,INS050101CV,18.2,25.7,32.6,3.7,67.0,4.0,2.7,315.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
18,2025-03-03,INS050101CV,19.6,26.5,33.4,4.7,65.0,4.0,4.7,9.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
19,2025-03-04,INS050101CV,18.2,25.5,32.8,5.9,69.0,6.0,3.3,225.0,Sabana Grande,,INSDMCL0501001CONV,14.373773,-90.830533,730.0
20,2025-03-05,INS050101CV,,,,,,,,,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
21,2025-03-06,INS050101CV,20.2,26.9,32.6,,68.0,5.0,8.0,9.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
22,2025-03-07,INS050101CV,16.2,25.0,32.6,5.3,77.0,4.0,3.3,270.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
23,2025-03-08,INS050101CV,16.0,23.9,31.0,3.4,78.0,7.0,6.0,270.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
24,2025-03-09,INS050101CV,15.2,23.9,31.0,4.6,79.0,5.0,4.3,315.0,Sabana Grande,2.2,INSDMCL0501001CONV,14.373773,-90.830533,730.0
25,2025-03-10,INS050101CV,17.2,24.6,30.8,1.9,81.0,6.0,1.3,9.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
26,2025-03-11,INS050101CV,17.0,25.4,32.6,4.2,74.0,5.0,3.0,9.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
27,2025-03-12,INS050101CV,18.6,25.1,31.4,4.8,74.0,6.0,1.3,9.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
28,2025-03-13,INS050101CV,17.4,24.6,32.0,1.6,77.0,5.0,4.3,315.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
29,2025-03-14,INS050101CV,18.2,25.7,32.8,3.8,73.0,5.0,4.3,225.0,Sabana Grande,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
30,2025-03-15,INS050101CV,18.0,20.2,,4.8,96.0,1.0,0.0,0.0,Sabana Grande,,INSDMCL0501001CONV,14.373773,-90.830533,730.0
